id,keyword,location,text,target
545,accident,"Arlington, TX",#TruckCrash Overturns On #FortWorth Interstate http://t.co/Rs22LJ4qFp Click here if you've been in a crash&gt;http://t.co/Ld0unIYw4k,1
546,accident,"South Bloomfield, OH",Accident in #Ashville on US 23 SB before SR 752 #traffic http://t.co/hylMo0WgFI,1
547,accident,,Carolina accident: Motorcyclist Dies in I-540 Crash With Car That Crossed Median: A motorcycle rider traveling... http://t.co/p18lzRlmy6,1
548,accident,"New Hanover County, NC",FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;NHS;999 PINER RD/HORNDALE DR,1
549,accident,Maldives,RT nAAYf: First accident in years. Turning onto Chandanee Magu from near MMA. Taxi rammed into me while I was halfway turned. Everyone confÛ_,1
550,accident,"Manchester, NH",Accident left lane blocked in #Manchester on Rt 293 NB before Eddy Rd stop and go traffic back to NH-3A delay of 4 mins #traffic,1
551,accident,"Wilmington, NC",;ACCIDENT PROPERTY DAMAGE; PINER RD/HORNDALE DR,1
552,accident,,???? it was an accident http://t.co/Oia5fxi4gM,0
553,accident,"New Hanover County, NC",FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;WPD;1600 S 17TH ST,1
554,accident,,8/6/2015@2:09 PM: TRAFFIC ACCIDENT NO INJURY at 2781 WILLIS FOREMAN RD http://t.co/VCkIT6EDEv,1
555,accident,global,Aashiqui Actress Anu Aggarwal On Her Near-Fatal Accident http://t.co/6Otfp31LqW,1
556,accident,Alberta | Sask. | Montana,Suffield Alberta Accident https://t.co/bPTmlF4P10,1
557,accident,Charlotte,9 Mile backup on I-77 South...accident blocking the Right 2 Lanes at Exit 31 Langtree Rd...consider NC 115 or NC 150 to NC 16 as alternate,1
558,accident,"Baton Rouge, LA",Has an accident changed your life? We will help you determine options that can financially support life care plans and on-going treatment.,0
559,accident,"Hagerstown, MD",#BREAKING: there was a deadly motorcycle car accident that happened to #Hagerstown today. I'll have more details at 5 @Your4State. #WHAG,1
560,accident,"Gloucestershire , UK",@flowri were you marinading it or was it an accident?,0
561,accident,,only had a car for not even a week and got in a fucking car accident .. Mfs can't fucking drive .,1
562,accident,UK,.@NorwayMFA #Bahrain police had previously died in a road accident they were not killed by explosion https://t.co/gFJfgTodad,1
563,accident,"Nairobi, Kenya",I still have not heard Church Leaders of Kenya coming forward to comment on the accident issue and disciplinary measures#ArrestPastorNganga,0
564,aftershock,Instagram - @heyimginog ,@afterShock_DeLo scuf ps live and the game... cya,0
565,aftershock,304,"'The man who can drive himself further once the effort gets painful is the man who will win.'
Roger Bannister",0
566,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/yNXnvVKCDA | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/weQPesENku,0
567,aftershock,304,'There is no victory at bargain basement prices.' Dwight David Eisenhower,0
568,aftershock,US,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/vAM5POdGyw | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/zEVakJaPcz,0
569,aftershock,304,'Nobody remembers who came in second.' Charles Schulz,0
570,aftershock,Instagram - @heyimginog ,@afterShock_DeLo im speaking from someone that is using a scuf on xb1 most of them people will end up getting on for ps also.,0
571,aftershock,304,'The harder the conflict the more glorious the triumph.' Thomas Paine,0
572,aftershock,,#GrowingUpSpoiled going clay pigeon shooting and crying because of the 'aftershock',0
573,aftershock,Somewhere Only We Know ?,So i guess no one actually wants any free Aftershock TC.....,0
574,aftershock,,Aftershock was the most terrifying best roller coaster I've ever been on. *DISCLAIMER* I've been on very few.,0
575,aftershock,Belgium,Aftershock https://t.co/xMWODFMtUI,0
576,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/M4JDZMGJoW | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/n0uhAsfkBv,0
577,aftershock,US,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/vAM5POdGyw | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/zEVakJaPcz,0
578,aftershock,,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/e14EPzhotH | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/22a9D5DO6q,0
579,aftershock,dope show,@KJForDays I'm seeing them and Issues at aftershock ??,0
580,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/THyzOMVWU0 | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/83jOO0xk29,0
581,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/THyzOMVWU0 | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/83jOO0xk29,0
582,aftershock,"Oshawa, Canada",#WisdomWed BONUS - 5 Minute Daily Habits that could really improve your life. How many do you already do? #lifehacks http://t.co/TBm9FQb8cW,0
583,aftershock,Baker City Oregon,Aftershock: Protect Yourself and Profit in the Next Global Financial Meltdown by David Wiedemer http http://t.co/WZTz4hgMVq,0
584,aftershock,,That moment when you get on a scary roller coaster and the guy behind you is just screaming bloody murder ?????? #silverwood #aftershock,0
585,aftershock,,Aftershock ã¢ (2010) Fullã¢ Streaming - YouTube http://t.co/vVE3UsesGf,0
586,aftershock,United States,"&gt;&gt; $15 Aftershock : Protect Yourself and Profit in the Next Global Financial... ##book http://t.co/f6ntUc734Z
@esquireattire",0
587,aftershock,304,Sometimes you face difficulties not because you're doing something wrong but because you're doing something right. - Joel Osteen,0
588,aftershock,304,'The only thing that stands between you and your dream is the will to try and the belief that it is actually possible.' - Joel Brown,0
589,aftershock,marysville ca ,Praise God that we have ministry that tells it like it is!!! #now #wdyouth #biblestudy https://t.co/UjK0e5GBcC,0
590,aftershock,304,'Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose.' ÛÒ Steve Jobs,0
591,aftershock,"Hermosa Beach, CA",Tried orange aftershock today. My life will never be the same,0
592,aftershock,,@OnFireAnders I love you bb,0
593,aftershock,,Aftershock https://t.co/jV8ppKhJY7,0
594,aftershock,,Aftershock back to school kick off was great. I want to thank everyone for making it possible. What a great night.,0
595,aftershock,304,People who say it cannot be done should not interrupt those who are doing it. ÛÒ George Bernard Shaw,0
596,aftershock,304,'The first man gets the oyster the second man gets the shell.' Andrew Carnegie,0
597,aftershock,,Anyone need a P/U tonight? I play Hybrid Slayer ps4 EU. HMU @Cod8sandscrims @EmpirikGaming @CoDAWScrims @4TP_KOTC @4TPFA @afterShock_Org,0
598,airplane%20accident,"19.600858, -99.047821",Experts in France begin examining airplane debris found on Reunion Island: French air accident experts o... http://t.co/YVVPznZmXg #news,1
599,airplane%20accident,Pennsylvania,Strict liability in the context of an airplane accident: Pilot error is a common component of most aviation cr... http://t.co/6CZ3bOhRd4,1
600,airplane%20accident,"Salt Lake City, Utah",@crobscarla your lifetime odds of dying from an airplane accident are 1 in 8015.,0
601,airplane%20accident,"Palo Alto, CA",Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wedn... http://t.co/bKpFpOGySI,1
602,airplane%20accident,,@AlexAllTimeLow awwww they're on an airplane accident and they're gonna die what a cuties ???? good job!,1
603,airplane%20accident,"Spain but Opa-Locka, FL",family members of osama bin laden have died in an airplane accident how ironic ?????? mhmmm gov shit i suspect,1
604,airplane%20accident,"Jaipur, India",Man Goes into Airplane Engine Accident: http://t.co/TYJxrFd3St via @YouTube,1
605,airplane%20accident,Hyderabad Telangana INDIA,Horrible Accident  Man Died In Wings of Airplane (29-07-2015) http://t.co/i7kZtevb2v,1
606,airplane%20accident,"Eagle Pass, Texas",A Cessna airplane accident in Ocampo Coahuila Mexico on July 29 2015 killed four men including a State of Coahuila government official.,1
607,airplane%20accident,bangalore,#Horrible #Accident Man Died In Wings Airplane (29-07-2015) #WatchTheVideo http://t.co/p64xRVgJIk,1
608,airplane%20accident,Financial News and Views,Experts in France begin examining airplane debris found on Reunion Island http://t.co/LsMx2vwr3J French air accident experts on WednesdayÛ_,1
609,airplane%20accident,,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wednesday began examining t...,1
610,airplane%20accident,Indonesia,#KCA #VoteJKT48ID mbataweel: #RIP #BINLADEN Family members who killed in an airplane's accident,1
611,airplane%20accident,y(our) boyfriends legs ,I almost sent my coworker nudes on accident thank god for airplane mode,0
612,airplane%20accident,"New Mexico, USA",@mickinyman @TheAtlantic That or they might be killed in an airplane accident in the night a car wreck! Politics at it's best.,0
613,airplane%20accident,Somewhere Out There,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on... http://t.co/TagZbcXFj0 #MLB,1
614,airplane%20accident,,"This is unbelievably insane.
#man #airport #airplane #aircraft #aeroplane #runway #accident #freakyÛ_ https://t.co/cezhq7CzLl",1
615,airplane%20accident,Mumbai india,Horrible Accident |  Man Died In Wings of AirplaneåÊ(29-07-2015) http://t.co/wq3wJsgPHL,1
616,airplane%20accident,sri lanka,Horrible Accident Man Died In Wings of Airplane (29-07-2015) http://t.co/TfcdRONRA6,1
617,airplane%20accident,Not a U.S resident,Usama bin Ladins family dead in airplane crash. Naturally no accident.,1
618,airplane%20accident,,Pilot Dies In Plane Crash At Car Festival https://t.co/kQ9aE6AP2B via @YouTube #Crash #Aircraft #Airplane #Pilot #Death #Accident #CarFest,1
619,airplane%20accident,"Lehigh Valley, PA",Strict liability in the context of an airplane accident - http://t.co/gibyQHhKpk,1
620,airplane%20accident,Canada,DTN Brazil: Experts in France begin examining airplane debris found on Reunion Island: French air accident exp... http://t.co/M9IG3WQ8Lq,1
621,airplane%20accident,,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wedn... http://t.co/v4SMAESLK5,1
622,airplane%20accident,Thrissur,Horrible Accident Man Died In Wings Of ÛÏAirplaneÛ 29-07-2015. WTF You CanÛªt Believe Your EYES ÛÒ... http://t.co/6fFyLAjWpS,1
623,airplane%20accident,Havenford,"+ Nicole Fletcher one of a victim of crashed airplane few times ago.

The accident left a little bit trauma for her. Although she's

+",1
624,airplane%20accident,India,OMG Horrible Accident Man Died in Wings of Airplane. http://t.co/xDxDPrcPnS,1
625,airplane%20accident,92,"#OMG! I don't believe this. #RIP bro
#AirPlane #Accident #JetEngine #TurboJet #Boing #G90 http://t.co/KXxnSZp6nk",1
626,airplane%20accident,,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wednesday began examining t...,1
627,airplane%20accident,Israel,I had a airplane accident.,1
628,airplane%20accident,Fashion Heaven. IG: TMId_,My phone looks like it was in a car ship airplane accident. Terrible,0
629,airplane%20accident,"San Francisco, CA",Statistically I'm at more of risk of getting killed by a cop than I am of dying in an airplane accident.,0
630,airplane%20accident,italy,airplane crashes on house in Colombia 12 people die in accident https://t.co/ZhJlfLBHZL,1
631,airplane%20accident,nyc,The shooting or the airplane accident  https://t.co/iECc1JDOub,1
632,airplane%20accident,Toronto,Could a drone cause an airplane accident? Pilots worried about use of drones esp. in close vicinity of airports http://t.co/kz35rGngJF #,1
633,ambulance,,Early wake up call from my sister begging me to come over &amp; ride w/her in the ambulance to the hospital #RODKiai,1
634,ambulance,Jackson,http://t.co/AY6zzcUpnz Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/sC9dNS41Mc,1
635,ambulance,New York / Worldwide,Two air ambulances on scene of serious crash between two cars and lorry in ... - http://t.co/9pFEaQeSki http://t.co/fntG70rnkx | #EMSNeÛ_,1
636,ambulance,,Twelve feared killed in Pakistani air ambulance helicopter crash - Reuters http://t.co/mDnUGVuBwN #yugvani,1
637,ambulance,"New Orleans, LA",Leading emergency services boss welcomes new ambulance charity http://t.co/Mj2jQ2pSv6,0
638,ambulance,West Wales,Anyone travelling Aberystwyth-Shrewsbury right now there's been an incident. Services at a halt just outside Shrews. Ambulance on scene.,1
639,ambulance,,Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/Xum8YLcb4Q,1
640,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/4evTTqPEia,0
641,ambulance,"Cambridge, MA",New Nanotech Device Will Be Able To Target And Destroy Blood Clots http://t.co/HFy5V3sLBB,0
642,ambulance,Arizona ,@20skyhawkmm20 @traplord_29 @FREDOSANTANA300 @LilReese300 it was hella crazy 3 fights an ambulance and a couple mosh pits ??,1
643,ambulance,Mumbai,If I get run over by an ambulance am I lucky? #justsaying #randomthought,0
644,ambulance,,#news Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/bFeS5tWBzt #til_now #DNA,1
645,ambulance,Amsterdam,http://t.co/7xGLah10zL Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/THmblAATzP,1
646,ambulance,"Swindon,England ",@TanSlash waiting for an ambulance,0
647,ambulance,,@fouseyTUBE you ok? Need a ambulance. Hahahah that was good! http://t.co/ZSbErqNN9n,0
648,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/q8IVrzOJZv,0
649,ambulance,,Pakistan air ambulance helicopter crash kills nine http://t.co/8E7rY8eBMf,1
650,ambulance,"Williamstown, VT",@TheNissonian @RejectdCartoons nissan are you ok do you need medical assistance i can call an ambulance if you need me to,0
651,ambulance,"North Carolina, USA",EMS1: NY EMTs petition for $17 per hour Û÷minimum wageÛª http://t.co/4oa6SWlxmR #ems #paramedics #ambulance,0
652,ambulance,,http://t.co/FCqmKFfflW Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/vAyaYmbNgu,1
653,ambulance,Karachi,Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/3bRme6Sn4t,1
654,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/UJrX9kgawp,0
655,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/Kp2Lf4AuTe,0
656,ambulance,Loveland Colorado,@Kiwi_Karyn Check out what's in my parking lot!! He said that until last year it was an ambulance in St Johns. http://t.co/hPvOdUD7iP,0
657,ambulance,|| c h i c a g o ||,when you don't know which way an ambulance is coming from &lt;&lt;,1
658,ambulance,,#reuters Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/ShzPyIQok5,1
659,ambulance,L. A.,http://t.co/pWwpUm6RBj Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/ySpON4d6Qo,1
660,ambulance,,Why is there an ambulance right outside my work,0
661,ambulance,Canada,ÛÏ@LeoBlakeCarter: This dog thinks he's an ambulance ?????? http://t.co/MG1lpGr0RMÛ@natasha_rideout,0
662,ambulance,VISIT MY YOUTUBE CHANNEL.,HAPPENING NOW - HATZOLAH EMS AMBULANCE RESPONDING WITH DUAL SIRENS ANDÛ_ https://t.co/SeK6MQ6NJF,0
663,ambulance,Lexington,http://t.co/FueRk0gWui Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/Mv7GgGlmVc,1
664,ambulance,,http://t.co/X5YEUYLT1X Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/2UgrMd1z1n,1
665,ambulance,USA,Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/TH9YwBbeet #worldNews,1
666,ambulance,"Hannover, Germany",Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/X2Qsjod40u #worldnews,1
667,ambulance,,What's the police or ambulance number in Lesotho? Any body know?,0
668,ambulance,,@medic914 @AACE_org I am surprised we still cannot standardised the clinical practice across the 11 NHS ambulance trust.,0
669,ambulance,Playa,http://t.co/J8TYT1XRRK Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/9d4nAzOI94,1
670,ambulance,"Davidson, NC",People who try to j-walk while an ambulance is passing... I hate you.,0
671,annihilated,Higher Places,The episode where Trunks annihilated Freiza is the cleanest shit ever. He showed that nigga no mercy.,0
672,annihilated,"Horsemind, MI",THEY SHALL BE ANNIHILATED AND ALL OF THEIR PETEBESTS DESSICATED AND LAID BARE. THEN YOU SHALL KNEEL BEFORE ME.,0
673,annihilated,"New York, NY",Uribe just annihilated that baseball. #Mets,0
674,annihilated,Boksburg,@marksmaponyane Hey!Sundowns were annihilated in their previous meeting with Celtic.Indeed its an improvement.,0
675,annihilated,,@Volfan326 @TNeazzy Mizzou has annihilated florida the past 2 seasons even ended muschamp's career just can't compete with Bama,0
676,annihilated,,Annihilated Abs . ?? http://t.co/1xPw292tJe,1
677,annihilated,,Be annihilated for status education mba on behalf of a on easy street careen: eOvm http://t.co/e0pI0c54FF,0
678,annihilated,"V-RP @OZRP_ ?MV, AU, R18+?",*to Luka* They should all die! All of them! Everything annihilated! - Alois Trancy,0
679,annihilated,"Greater Manchester, UK",@ACarewornHeart Have a good un fella sorry I won't be there to get annihilated with you :(,0
680,annihilated,Boston,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/tHrhKHOGcUåÊ http://t.co/tZSZmF2qxE via @ViralSpell,1
681,annihilated,,You must be annihilated!,0
682,annihilated,,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/C0nKGp6w03åÊ http://t.co/IMWmfDJSSn via @ViralSpell,1
683,annihilated,The Canopy Kingdom,BOOM! Your country was just entirely annihilated by a hÛ_ ÛÓ Britain https://t.co/IrFCn71sZv,0
684,annihilated,,@AmirKingKhan you would have been annihilated so you might as well thank @FloydMayweather,0
685,annihilated,USA,One thing for sure-God has promised Israel will not be annihilated. But...the horror of Iran w/nukes. https://t.co/xn09Mx6sxy,0
686,annihilated,,@violentfeminazi I guess that's ok for Armenians since we've spent most of our history getting annihilated,1
687,annihilated,,70 years since we annihilated 100000 people instantly and became aware that we have the ability to annihilate the whole of humanity,1
688,annihilated,the own zone layer ,day 1 of tryouts went good minus the fact I stopped quickly to get a short ball and Annihilated my toenail injury even more,0
689,annihilated,London,"During the 1960s the oryx a symbol of the Arabian Peninsula were annihilated by hunters.
http://t.co/yangEQBUQW http://t.co/jQ2eH5KGLt",1
690,annihilated,Trancy Manor,(To Luka) 'They should all die! All of them! Everything annihilated!' - Alois Trancy -,0
691,annihilated,,Ready to get annihilated for the BUCS game,1
692,annihilated,South 37,@PhilipDuncan @breakfastone People 'annihilated by last nights weather'... Really Philip thought you would have forecast that...,1
693,annihilated,,Domain other sophistication be annihilated closely up-to-the-minute feat: ZrNf,0
694,annihilated,"West Lancashire, UK.",@stormbeard @steel_lord I seen Judas Priest in 2005 when Rob came back; Scorpions as support. Fucking annihilated the place. Astonishing gig,0
695,annihilated,PA,Officially skipping out on #FantasticFour/#Fant4stic/whatever the hashtag is. It's getting ANNIHILATED in reviews. Bummer.,0
696,annihilated,,@TomcatArts thus explaining why you were all annihilated. But the few or in this case you the only survivor evolved and became godlike,1
697,annihilated,Û¢ Views From The Six Û¢,just completely annihilated cech with paul keegan what a time to be alive,0
698,annihilated,,@TomcatArts 'who then were annihilated by the legion itself. The survivors of the imperfect hybrid project quickly formed a new secret cell,0
699,annihilated,University of Toronto,@SirBrandonKnt exactly. That's why the lesnar/cena match from summerslam last year was so great because Brock annihilated a guy who's,0
700,annihilated,,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/F1BAkpNyn6åÊ http://t.co/lZXwoAyE4x via @ViralSpell,1
701,annihilated,Swaning Around,"ANNIHILATED IN DAMASCUS: SYRIAN ARMY GRINDS Û÷ALLOOSH AND HIS GANG INTO THE MANURE PILE
http://t.co/7rakhP3bWm",1
702,annihilated,,@thatdes ok i wasn't completely forthright i may have also been in a food coma bc of the kebab/tahini/pickles i also annihilated w/fries,0
703,annihilated,London,A fun filled happy-hour at Simmons bar in Camden with this handsome one ?? (I got annihilated apart from this game) http://t.co/4JNo677Zkv,0
704,annihilated,Albany/NY,Juanny Beisbol Sr. Annihilated that ball. #LGM,0
705,annihilation,"California, USA",@rvfriedmann Hell is just a fraction of his belief of total annihilation destruction of USA @LodiSilverado @ritzy_jewels,1
706,annihilation,,@POTUS Maybe we should call Israel and tell them we're sorry are Pres has sold them down the river to annihilation.,0
707,annihilation,,Evildead - Annihilation of Civilization http://t.co/sPfkE5Kqu4,0
708,annihilation,,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... http://t.co/6LoJOoROuk via @Change,0
709,annihilation,Wild Wild Web,annihilating quarterstaff of annihilation,1
710,annihilation,Subconscious LA,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/pB2N77nSKz,0
711,annihilation,Spain,:StarMade: :Stardate 3: :Planetary Annihilation:: http://t.co/I2hHvIUmTm via @YouTube,1
712,annihilation,,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/m8MvDSPJp7 via @Change,0
713,annihilation,CA physically- Boston Strong?,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/sW1sBua3mN via @Change,1
714,annihilation,"Yeezy Taught Me , NV",@KimKardashian can you please sign and share this petition to save wild horses in Arizona. http://t.co/3tsSXPHuFE ????,0
715,annihilation,,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... http://t.co/KPQk0C4G0M via @Change,1
716,annihilation,CA physically- Boston Strong?,@TheEllenShow Please check into Salt River horses help stop the annihilation about to happen without 54000 more signatures.change .org Thx,0
717,annihilation,United States,Are souls punished withåÊannihilation? http://t.co/c1QXJWeQQU http://t.co/Zhp0SOwXRy,0
718,annihilation,,@CalFreedomMom @steph93065 not to mention a major contributor to the annihilation of Israel,1
719,annihilation,,@willienelson We need help! Horses will die!Please RT &amp; sign petition!Take a stand &amp; be a voice for them! #gilbert23 https://t.co/e8dl1lNCVu,1
720,annihilation,"Rock Hill, SC",I reject the laws of the misguided false prophets imprison nations fueling self annihilation,0
721,annihilation,"Coolidge, AZ",U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/MatIJwkzbh via @Change,0
722,annihilation,Republic of Texas,"The annihilation of Jeb Christie &amp; Kasich is less than 24 hours away..
Please God allow me at least one more full day...",0
723,annihilation,,@Barbi_Twins We need help-horses will die! Please RT &amp; sign petition! Take a stand &amp; be a voice for them! #gilbert23 https://t.co/e8dl1lNCVu,0
724,annihilation,,@Whippenz We need help! Horses will die!Please RT &amp; sign petition!Take a stand &amp; be a voice for them! #gilbert23 https://t.co/e8dl1lNCVu,0
725,annihilation,"Phoenix, AZ",Hey #AZ: Sign this petition to save the #WildHorses @ #TantoNationalForest! A @RollingStones sing-a-long is in order: http://t.co/WM5l8PJ2iY,0
726,annihilation,"Ljubljana, Slovenia",Stop the Annihilation of the Salt River Wild Horses! http://t.co/wVobVVtXKg via @Change,1
727,annihilation,Connecticut,@SonofBaldwin and he's the current Nova in the bookslast I checked..he was tied into the books in 2011 after Rider died during Annihilation,0
728,arsonist,Bleak House,Arson suspect linked to 30 fires caught in Northern California http://t.co/mmGsyAHDzb,1
729,arsonist,heccfidmss@gmail.com,@local_arsonist @diamorfiend the legal system NEVER forgets,0
730,arsonist,ss,@Casper_rmg u on dick,0
731,arsonist,toronto,Bloor/Ossington arsonist also burned a mattress on Northumberland St #cbcto http://t.co/wpDvT31sne,0
732,arsonist,[ Blonde Bi Fry. ],'wHeRE's mY aRsOnISt aT???',0
733,arsonist,America,If you don't have anything nice to say you can come sit with me.,0
734,arsonist,NYC :) Ex- #Islamophobe,#Vegetarian #Vegan Video shows arsonist torching popular BK restaurant Strictly Vegetarian... http://t.co/kxpLYoM9RR #GoVegan #UniteBlue,0
735,arsonist,SF Bay Area,#Arsonist arrested for setting many fires. WATCH tonightÛªs other #headlines: http://t.co/sqgogJ3S5r. #Nightbeat @VeronicaDLCruz #2MinuteMix,1
736,arsonist,"Orange County, California",Video Captures Man Removing American Flag From Long Beach CA Home Burning It; Arsonist Sought http://t.co/JP2QlrunjJ http://t.co/jbpgkGOwSi,0
737,arsonist,ss,@58hif my trick is to think about nasty things,0
738,arsonist,"Winston Salem, North Carolina",#Spotlight Take Me To Paradise by Arsonist MC #WNIAGospel http://t.co/1he4UfaWZm @arsonistmusic http://t.co/BNhtxAEZMM,0
739,arsonist,ss,who makes these? http://t.co/28t3NWHdKy,0
740,arsonist,,on town of salem i just melted ice cube bc im the arsonist :D,0
741,arsonist,"Adelaide, South Australia",Arsonists being blamed for a blaze at a plastics recycling business in Adelaide | @pcaldicott7 reports. #7NewsAdl http://t.co/r1Xwdnvb0g,0
742,arsonist,ss,i be on that hotboy shit,0
743,arsonist,"WASHINGTON,DC",Zodiac Girl feat Trey Dupree (Produced By Sparkz Beatz) | Chuck Da Arsonist http://t.co/HDKd9J2lw0,0
744,arsonist,,@local_arsonist LMFAO,0
745,arsonist,California,Alleged East Bay serial arsonist arrested #SanFrancisco - http://t.co/ojuHfkHVb2,1
746,arsonist,ss,@_Doofus_ @diamorfiend im jokin still cant be on moves:/,0
747,arsonist, snapchat // fvck_casper ,@local_arsonist I guess u can say that it's just some shit I was thinking about,0
748,arsonist,New York,Arsonist Sets NYC Vegetarian Restaurant on Fire: Police #NewYork - http://t.co/Nr7usT3uh8,1
749,arsonist,,I liked a @YouTube video from @slimebeast http://t.co/ulr6MyklnH Town of Salem | How to Win as The Arsonist,0
750,arsonist,ss,@Casper_rmg @BestComedyVine whats cracking cuz,0
751,arsonist,ss,smoke good fuck eat drink drive nice car wear all green mink,0
752,arsonist,ss,kill i got court the day after earl,0
753,arsonist,,@local_arsonist lmao but real live you should go,0
754,arsonist,United States,Owner of Chicago-Area Gay Bar Admits to Arson Scheme: Frank Elliott pleaded guilty to hiring an arsonist to to... http://t.co/jCFEhrHLq8,0
755,arsonist,,Trusting Iran to stop terrorism is like inviting an arsonist to join the fire brigade - Telegraph http://t.co/2Z2HTDjQZD,0
756,arsonist,,Big Top Burning The True Story Of An Arsonist A Missing Girl Û_ : http://t.co/QxH1H61cwD .,1
757,attack,"Dallas, TX",Stay vigilent. Civil liberties are under constant attack. #nativehuman #myreligion  https://t.co/WWu070Tjej,1
758,attack,NYC,Credit to @pfannebeckers for inspiring me to rediscover this fantabulous #tbt http://t.co/wMHy47xkiL,0
759,attack,,http://t.co/pTKrXtZjtV  Nashville Theater Attack: Will Gun Grabbers Now Demand ÛÏHatchet Control?Û,1
760,attack,Location,"BREAKING: Terror Attack On
Police Post #Udhampur",1
761,attack,Selena | Britney | Hilary,Demi stans really think Heart Attack sold 5/6 million copies ??,0
762,attack,,it scares me that there's new versions of nuclear attack warnings like just knowing that governments still prepare for them,1
763,attack,,ISIL claims suicide bombing at Saudi mosque that killed at least 15 http://t.co/Y8IcF89H6w http://t.co/t9MSnZV1Kb,1
764,attack,Ireland,@DatTomm the funniest part about that twitter is the feminists that try to attack it 4Head,0
765,attack,Freeport IL. USA,Horrific attack on wife by muslim in Italy http://t.co/nY3l1oRZQb LiveLeak #News,1
766,attack,,Ûª93 blasts accused Yeda Yakub dies in Karachi of heart attack http://t.co/mfKqyxd8XG #Mumbai,1
767,attack,Dubai,@etribune  US Drone attack kills 4-suspected militants in North Waziristan @AceBreakingNews https://t.co/jB038rdFAK,1
768,attack,"Tucson, Az",Suspect in latest theater attack had psychological issues http://t.co/3huhZxliiG,1
769,attack,India,Militants attack police post in Udhampur; 2 SPOs injured | LiveMint http://t.co/Rptouz2iJs | http://t.co/69mLhfefhr #AllTheNews,1
